content,video_title,video_publish_time,duration,average_view_duration,stayed_to_watch_percent,average_percentage_viewed_percent,new_viewers,regular_viewers,views,watch_time_hours,subscribers,impressions,impressions_click_through_rate_percent,performance_tier,publish_hour,day_of_week,title_length,video_age_days,predicted_tier
aiaxyUtU8q8,Puneet Superstar Is Back 🤣,2025-11-02,33.0,0:00:27,83.23,84.57,0.0,0.0,47471,214.3349,119,8235,4.32,Top,0.0,6.0,26,237.0,Top
Soa0LZNHRx8,toxic husband 🤫 #shorts,2024-08-24,16.0,0:00:11,83.1,72.3,0.0,0.0,3835,12.3111,4,804,2.99,Mid,0.0,5.0,23,672.0,Mid
j-WqOLvxtxQ,Urfi Devi Ka Comeback 🤣,2026-01-29,30.0,0:00:22,83.05,74.86,0.0,0.0,18943,77.1732,25,7843,7.84,Top,0.0,3.0,23,149.0,Top
wABQetHqJxI,Bhai Behen Ya Couple 🤣,2025-12-12,32.0,0:00:28,82.98,87.56,0.0,0.0,28448,130.9192,21,3238,2.47,Top,0.0,4.0,22,197.0,Top
TMKiYeAa7ro,Best Makeup Transitions 🤣,2025-12-16,36.0,0:00:29,82.85,81.93,0.0,0.0,26282,135.3271,43,3887,3.45,Top,0.0,1.0,25,193.0,Top
d9CL60BTVRI,Biggest Heart Break 🤣,2025-12-10,36.0,0:00:30,82.8,85.87,0.0,0.0,32477,166.4728,70,3383,3.52,Top,0.0,2.0,21,199.0,Top
66VoiD8rDN4,Biggest No 1 Chappri Is Back 🤣,2025-12-02,34.0,0:00:29,82.71,87.05,0.0,0.0,29633,152.5383,213,3140,6.69,Top,0.0,1.0,30,207.0,Top
L1GALfYU1qc,Too Much Attitude 🤣,2026-05-31,33.0,0:00:26,82.63,79.18,0.0,0.0,27747,118.8653,245,3595,2.84,Top,0.0,6.0,19,27.0,Top
RjJTsjUbvWw,Ajeeb Chapri Hai 🤣,2025-12-02,32.0,0:00:25,82.5,79.21,0.0,0.0,28199,126.7478,140,2995,3.11,Top,0.0,1.0,18,207.0,Top
ovzTHABOIJ0,Power Of Bihari 🤣,2026-03-03,33.0,0:00:23,82.43,70.31,0.0,0.0,279579,1210.3488,14103,11460,3.77,Top,0.0,1.0,17,116.0,Mid
IEwxKdRW5J8,Puneet Superstar Ka Breakfast 🤣,2025-12-16,35.0,0:00:28,82.4,80.83,0.0,0.0,20759,105.2102,56,5709,3.98,Top,0.0,1.0,31,193.0,Top
L2JgTHaQHwY,Biggest Chappri Bahu 🤣,2025-12-12,33.0,0:00:25,82.39,77.55,0.0,0.0,15737,71.8162,26,3142,2.83,Mid,0.0,4.0,22,197.0,Mid
KbjS91adDfc,Dukan Kharid Liya 2 🤣,2026-01-19,31.0,0:00:27,82.28,87.54,0.0,0.0,35564,171.6471,73,6774,3.4,Top,0.0,0.0,21,159.0,Top
s7GwazsGufI,Biwi No 2 🤣,2025-11-26,24.0,0:00:20,82.13,84.68,0.0,0.0,29470,96.0587,28,4336,6.9,Top,0.0,2.0,11,213.0,Top
qsvVRxnjudA,26 January Wala Chappri 🤣,2026-01-24,36.0,0:00:26,82.02,72.54,0.0,0.0,12805,60.8062,16,6051,1.17,Mid,0.0,5.0,25,154.0,Mid
nG9J76XbKsg,Ye Kya Hua 🤣,2025-12-26,31.0,0:00:26,81.99,84.46,0.0,0.0,31490,144.1965,134,9771,1.87,Top,0.0,4.0,12,183.0,Top
xMkExdozwkM,Biggest Chappri Is Back Pt-2 🤣,2025-11-10,29.0,0:00:25,81.95,87.74,0.0,0.0,30628,123.5744,78,4943,5.79,Top,0.0,0.0,30,229.0,Top
qR0lAqGHoIA,aquaphobia 😂 #shorts,2024-12-29,45.0,0:00:30,81.91,68.25,0.0,0.0,10425,88.7648,3,706,1.56,Mid,0.0,6.0,20,545.0,Mid
7OB56dzyL1o,Tiktok Ke No 1 Chappri 🤣,2025-11-30,34.0,0:00:27,81.76,82.1,0.0,0.0,47083,232.4312,88,4539,5.24,Top,0.0,6.0,24,209.0,Top
41Ub5jt5Uzc,Hakla Haircut Kara Liya 🤣,2025-12-17,33.0,0:00:28,81.71,85.07,0.0,0.0,26691,131.5206,47,7256,5.82,Top,0.0,2.0,25,192.0,Top
56ec8cpaJrY,Biggest Cringe Pro Max 🤣,2025-12-06,30.0,0:00:23,81.51,78.46,0.0,0.0,25421,109.4884,28,2509,3.43,Top,0.0,5.0,24,203.0,Top
 --p73ZJqqto,Most Beautiful Girl 🤣,2026-03-31,29.0,0:00:24,81.5,83.55,0.0,0.0,28003,111.5071,45,5085,8.91,Top,0.0,1.0,21,88.0,Top
nOOrdyIYsP0,Chappri Handsome Damad 🤣,2025-12-03,29.0,0:00:24,81.5,84.59,0.0,0.0,26726,111.8471,25,2531,2.29,Top,0.0,2.0,24,206.0,Top
CwSSyxjLIgw,Tanya Mittal Reality 🤯,2025-09-15,40.0,0:00:28,81.39,70.01,0.0,0.0,12503,58.8225,10,2574,4.27,Mid,0.0,0.0,22,285.0,Mid
4xCDaWHR0Z8,Tiktok Ke No 1 Chappri Is Back 🤣,2025-12-08,37.0,0:00:27,81.24,73.63,0.0,0.0,24150,122.4275,44,3204,1.47,Top,0.0,0.0,32,201.0,Top
GhZYQ9ekAUg,kajal sejal dark-8 #shorts,2024-12-12,28.0,0:00:15,81.13,56.72,0.0,0.0,301,1.3279,0,646,19.97,Low,0.0,3.0,26,562.0,Low
xo4NMNYYyQo,Wanna Be Chappri 🤣,2025-12-11,40.0,0:00:29,81.06,74.27,0.0,0.0,14262,80.239,14,3017,5.34,Mid,0.0,3.0,18,198.0,Mid
 -JpXh_UhbvI,Best Makeup Transition 🤣,2025-10-02,33.0,0:00:28,80.97,86.93,0.0,0.0,18220961,84421.023,31212,270430,13.69,Top,0.0,3.0,24,268.0,Top
YXJHQSnvYPI,Biggest Kabutarbaz Chappri 🤣,2025-12-13,33.0,0:00:26,80.85,79.57,0.0,0.0,14511,69.1713,70,3279,1.49,Mid,0.0,5.0,28,196.0,Mid
jIAyYNzf9Z0,Power Of Makeup 2 🤣,2026-01-10,33.0,0:00:27,80.82,82.61,0.0,0.0,3103084,14538.242,5583,13115,3.89,Top,0.0,5.0,19,168.0,Top
eUh1JNsFk2o,kajal pandey dark comedy #shorts,2025-01-13,26.0,0:00:18,80.65,72.7,0.0,0.0,6296,32.7945,21,2328,3.95,Mid,0.0,0.0,32,530.0,Mid
gzSiCL_cBFo,Ye Kya Dekh Liya 🤣,2025-12-14,34.0,0:00:27,80.59,79.9,0.0,0.0,29489,124.9137,22,3859,2.8,Top,0.0,6.0,18,195.0,Top
IPsLaBvk9F4,Puneet Superstar Secret 🤣,2025-10-20,37.0,0:00:30,80.58,83.06,0.0,0.0,31617,162.6313,79,12726,4.14,Top,0.0,0.0,25,250.0,Top
9mKvKNKTgu0,Chappri Nibba Nibbi 🤣,2025-12-10,35.0,0:00:25,80.56,72.59,0.0,0.0,24380,114.8671,8,4009,3.07,Top,0.0,2.0,21,199.0,Mid
OkA3yODYZO0,Weeding Gone Wrong 🤣,2025-10-27,31.0,0:00:26,80.55,84.02,0.0,0.0,23875,101.82,43,5586,2.51,Top,0.0,0.0,20,243.0,Top
gO5Jp1IM9rE,Funniest Hair Style Ever 🤣,2025-10-16,30.0,0:00:26,80.53,89.4,0.0,0.0,32323,131.7205,57,9576,2.59,Top,0.0,3.0,26,254.0,Top
iF8RPWqupoU,Tattoo Lover Transition 🤣,2025-10-26,31.0,0:00:27,80.45,87.43,0.0,0.0,31106,133.7907,44,5870,3.85,Top,0.0,6.0,25,244.0,Top
KsGf1kRTK0o,Finally Face Reveal 🤣,2025-11-04,31.0,0:00:24,80.43,78.83,0.0,0.0,29173,115.5112,41,4822,2.59,Top,0.0,1.0,21,235.0,Top
3myZ5ptfbiQ,Haldi Trend Gone Wrong 🤣,2025-06-23,54.0,0:00:33,80.39,62.79,0.0,0.0,24876,151.2393,56,4858,3.36,Top,0.0,0.0,24,369.0,Mid
uBUbKzFIIq4,Best Makeup Transition-2 🤣,2025-11-08,31.0,0:00:22,80.23,74.14,0.0,0.0,27909,116.3134,59,4525,7.09,Top,0.0,5.0,26,231.0,Top
O171asa9vmU,the solution 💀 #shorts,2024-12-04,22.0,0:00:24,80.19,112.13,0.0,0.0,16787,114.556,16,2185,4.53,Mid,0.0,2.0,22,570.0,Mid
XjkGwumh2l4,Weirdest Street Food 🤣,2026-03-24,37.0,0:00:25,80.17,68.89,0.0,0.0,17726,85.3835,561,4285,8.87,Mid,0.0,1.0,22,95.0,Mid
VmXwq8xeLyw,Saurav Joshi Marriage Exposed 🤯,2025-09-17,36.0,0:00:25,80.07,71.9,0.0,0.0,24749,114.1323,33,4415,3.19,Top,0.0,2.0,31,283.0,Mid
GcdXLkMX4pk,Virat Kohli Ka Duplicate 🤣,2026-01-13,38.0,0:00:28,79.98,74.24,0.0,0.0,24291,117.6685,25,7937,8.39,Top,0.0,1.0,26,165.0,Top
ahqq93J7Osw,Biggest Makeup Transition 🤣,2025-10-25,35.0,0:00:30,79.91,86.35,0.0,0.0,27416,143.5315,50,5677,4.54,Top,0.0,5.0,27,245.0,Top
prSakE3nrbE,puneet's favourite food #shorts,2024-11-29,22.0,0:00:16,79.76,76.11,0.0,0.0,2365,10.9494,2,1187,1.01,Mid,0.0,4.0,31,575.0,Mid
NKZtMAsqzLk,Power Of Makeup 6 🤣,2026-05-29,32.0,0:00:26,79.72,83.39,0.0,0.0,29239,122.4124,82,3781,3.46,Top,0.0,4.0,19,29.0,Top
uUl-GazDFDI,Best Makeup Transition 3 🤣,2025-11-28,29.0,0:00:24,79.67,85.9,0.0,0.0,41632,174.7888,37,4446,6.64,Top,0.0,4.0,26,211.0,Top
HpYduSoYuEg,New Chapri Is Back 🤣,2025-10-31,32.0,0:00:27,79.55,85.35,0.0,0.0,31803,134.4902,76,5253,6.26,Top,0.0,4.0,20,239.0,Top
kXW6kufpXpM,Puneet Superstar Crazy Food 🤣,2025-11-09,22.0,0:00:21,79.5,96.2,0.0,0.0,32895,104.3558,35,4840,4.26,Top,0.0,6.0,29,230.0,Top
79SNsC2S3JQ,Paisa Kamane Ka Technologia 🤣,2026-01-07,32.0,0:00:25,79.49,79.3,0.0,0.0,348475,1456.5817,977,9776,5.02,Top,0.0,2.0,29,171.0,Top
l_ch_LxEqlM,Biggest Chapri 🤣,2025-10-14,35.0,0:00:27,79.45,79.58,0.0,0.0,29455,133.5787,82,11676,4.46,Top,0.0,1.0,16,256.0,Top
TWYPuavC7R4,Biggest Chappri Is Back Again 🤣,2025-11-24,32.0,0:00:26,79.38,82.54,0.0,0.0,39864,170.0183,83,4803,7.25,Top,0.0,0.0,31,215.0,Top
oxSZzgBZK6U,Kajal Roast Devika Gupta 😂,2025-06-25,42.0,0:00:32,79.29,77.82,0.0,0.0,342752,1962.4774,634,1905340,4.28,Top,0.0,2.0,26,367.0,Top
Cjo9nEgmXeA,Ye Dikh Raha Kya 🤣,2025-12-27,28.0,0:00:21,79.28,75.74,0.0,0.0,28279,109.3221,41,11140,1.17,Top,0.0,5.0,18,182.0,Top
K017Q9tgi8M,Biggest Nibba Nibbi Ki Shadi 🤣,2025-11-25,27.0,0:00:23,79.27,86.36,0.0,0.0,29558,111.056,41,4491,4.39,Top,0.0,1.0,30,214.0,Top
Vu2MgFsIv5A,Best Karwa Chauth Of Nibbi 🤣,2025-10-10,35.0,0:00:22,79.26,63.39,0.0,0.0,23206,102.0946,25,11396,3.65,Top,0.0,4.0,28,260.0,Mid
GlvUKA8L0fM,Puneet Vs Elvish 🤣,2025-12-21,37.0,0:00:29,79.18,78.77,0.0,0.0,18089,95.677,44,4476,1.81,Top,0.0,6.0,18,188.0,Top
caU7ljeXYDg,Iphone User Transition 🤣,2025-11-04,37.0,0:00:30,79.15,81.67,0.0,0.0,28099,140.4288,22,4435,2.21,Top,0.0,1.0,24,235.0,Top
z0IxmZbaZOE,Free Fire Vs BGMI 🤣,2025-11-06,33.0,0:00:27,79.1,84.18,0.0,0.0,28131,135.2092,221,5213,5.41,Top,0.0,3.0,19,233.0,Top
edzoLoXADsg,Best Makeup Transition Final 🤣,2025-12-28,36.0,0:00:30,79.05,83.61,0.0,0.0,20662,113.3766,46,12851,4.87,Top,0.0,6.0,30,181.0,Top
2vQKcL1ey1Y,The Power Of Body 🤣,2025-10-08,34.0,0:00:26,79.04,77.66,0.0,0.0,28134,126.3827,75,6075,6.29,Top,0.0,2.0,19,262.0,Top
AVLf301YxRY,Inke Bacche Ho Gye 🤣,2025-12-21,39.0,0:00:28,79.02,71.81,0.0,0.0,21442,108.4322,55,4664,2.44,Top,0.0,6.0,20,188.0,Top
SgBKnNlf8oY,Ye Mat Dekhna 🤣,2025-12-23,29.0,0:00:22,78.91,78.12,0.0,0.0,21864,87.0291,31,5183,1.33,Top,0.0,1.0,15,186.0,Top
f91XbOJVvLM,Best Food Lover Part 2 🤣,2026-06-10,36.0,0:00:31,78.86,74.67,0.0,0.0,26759,141.2819,292,2504,10.26,Top,0.0,2.0,24,17.0,Top
4LR5yz2iHHE,Sasta Policewala 🤣,2026-02-09,31.0,0:00:26,78.69,84.8,0.0,0.0,30895,130.0209,258,7554,2.97,Top,0.0,0.0,18,138.0,Top
PlPhYxJXG2k,Power Of Tattoo 🤣,2026-03-01,30.0,0:00:23,78.68,78.79,0.0,0.0,48538,205.7533,1165,9160,5.85,Top,0.0,6.0,17,118.0,Top
9VD50-nlovo,sejal exx vlog reaction 🙄 #treanding #comedy,2024-11-10,25.0,0:00:18,78.58,72.61,0.0,0.0,14715,73.6503,18,4115,8.12,Mid,0.0,6.0,44,594.0,Mid
te2AlX_5npk,Shirf Ek Apna Bhai 🤣,2026-01-12,25.0,0:00:19,78.51,76.47,0.0,0.0,26346,92.1301,19,7582,9.55,Top,0.0,0.0,20,166.0,Top
XA9KQ1UH1tU,costume cutter-3 #shorts,2024-12-11,48.0,0:00:32,78.51,65.48,0.0,0.0,13115,116.29,3,2924,1.23,Mid,0.0,2.0,24,563.0,Mid
Y_3rwItVFWk,kajal sejal dark-16 #shorts,2025-01-07,42.0,0:00:19,78.43,46.69,0.0,0.0,132,0.6564,0,848,4.36,Low,0.0,1.0,27,536.0,Low
QUlE-jDIbjc,Rise And Fall Pawan Singh 🔥,2025-09-13,37.0,0:00:32,78.42,88.33,0.0,0.0,17681,101.0753,27,2793,1.29,Mid,0.0,5.0,27,287.0,Top
drrUIiYWGEw,kajal sejal dark-10 #shorts,2024-12-22,35.0,0:00:25,78.39,72.65,0.0,0.0,15333,107.8188,46,2502,3.04,Mid,0.0,6.0,27,552.0,Mid
ANrSnZ135cs,Biggest Chappri Is Back 🤣,2025-10-23,33.0,0:00:27,78.38,84.67,0.0,0.0,46577,206.5723,113,9583,6.73,Top,0.0,3.0,25,247.0,Top
9AtvTl_m2mk,Papa Ka Para 🤣,2025-11-19,31.0,0:00:26,78.38,84.66,0.0,0.0,257,1.073,1,404,22.03,Low,0.0,2.0,14,220.0,Low
kaP5VvJl6NE,Making Fun On Hindu,2025-03-09,25.0,0:00:16,78.38,65.87,0.0,0.0,111,0.4033,0,701,5.71,Low,0.0,6.0,19,475.0,Low
LAtPqalrlY0,Chahiye Kya aurat ko 🤣,2025-11-29,33.0,0:00:27,78.36,83.13,0.0,0.0,27960,133.7287,77,3210,4.11,Top,0.0,5.0,22,210.0,Top
hNMP7s8TeeM,Best Maggi Transition 🤣,2025-10-11,37.0,0:00:27,78.04,73.11,0.0,0.0,28276,128.9895,46,6918,2.17,Top,0.0,5.0,23,259.0,Top
ouIKvI7RZYc,Bro Turned Into Barbie 🤣,2025-10-19,36.0,0:00:29,78.03,82.37,0.0,0.0,28923,142.0816,41,7844,4.0,Top,0.0,6.0,24,251.0,Top
19J7SNSZckI,Going To SRK House 🤣,2026-02-05,32.0,0:00:27,77.96,85.5,0.0,0.0,22719,113.612,22,6756,1.15,Top,0.0,3.0,20,142.0,Top
ancae4TrdQY,Tiktok Ke No 1 Couple 🤣,2025-12-06,24.0,0:00:20,77.85,86.06,0.0,0.0,7554,23.7109,6,2614,3.86,Mid,0.0,5.0,23,203.0,Mid
ZquXbroAkxE,7 Crore 🤣,2026-02-25,32.0,0:00:26,77.62,81.41,0.0,0.0,14793,68.0979,121,7673,1.69,Mid,0.0,2.0,9,122.0,Mid
cabD0B90ZZ8,Masterplan Of Muskan Karia 🤩,2025-10-01,47.0,0:00:31,77.55,66.95,0.0,0.0,4737,26.0122,4,9217,4.49,Mid,0.0,2.0,28,269.0,Mid
PKlebzaaLB8,Power Of Overacting 🤣,2026-06-19,39.0,0:00:29,77.51,75.38,0.0,0.0,221602,1062.9081,2587,1336,11.83,Top,0.0,4.0,21,8.0,Top
yGvOjxQBtv4,kajal sejal dark-14 #shorts,2025-01-06,36.0,0:00:21,77.51,59.68,0.0,0.0,4289,25.4541,6,1516,4.02,Mid,0.0,0.0,27,537.0,Mid
aHm0UYEfJu8,Sourav Joshi Masterplan Exposed 😱,2025-09-04,32.0,0:00:26,77.37,83.1,0.0,0.0,38549,158.3738,41,3961,2.07,Top,0.0,3.0,33,296.0,Top
U5Bj1jemQMY,atma katha ❌ johnny sins katha ✅ #shorts,2024-12-09,20.0,0:00:18,77.36,90.3,0.0,0.0,3361,16.7849,1,1748,0.29,Mid,0.0,0.0,40,565.0,Mid
7-V_c5bpUp4,Payal Gaming Ka Roast 🤣,2025-12-17,25.0,0:00:18,77.34,75.29,0.0,0.0,36659,128.0477,8,124859,13.84,Top,0.0,2.0,23,192.0,Top
UwMqUWQzDSg,strength is mouth #shorts,2024-12-09,28.0,0:00:18,77.32,66.88,0.0,0.0,5901,30.6769,2,858,0.0,Mid,0.0,0.0,25,565.0,Mid
s65iwOZtDPs,Best Makeup Fail Ever 🤣,2025-10-21,37.0,0:00:27,77.25,75.4,0.0,0.0,31289,144.2125,45,9134,8.32,Top,0.0,1.0,23,249.0,Top
EYwUjOFbrC8,Power Of Makeup 4 🤣,2026-02-23,27.0,0:00:22,77.11,84.92,0.0,0.0,164024,596.3629,2922,9599,4.97,Top,0.0,0.0,19,124.0,Top
uUIYsx4QyXc,Biggest Chappri Is Live 🤣,2025-12-19,34.0,0:00:25,76.95,73.99,0.0,0.0,7589,34.1073,20,3634,1.6,Mid,0.0,4.0,25,190.0,Mid
HeZ-PLl2YX0,Chappri Doctor 🤣,2026-03-26,39.0,0:00:25,76.93,65.65,0.0,0.0,6649,30.408,53,1030,14.27,Mid,0.0,3.0,16,93.0,Mid
8s8zpBTq0CQ,Dukan Kharid Liya 🤣,2025-12-28,28.0,0:00:24,76.86,86.8,0.0,0.0,5354579,20097.9031,12519,19501,3.62,Top,0.0,6.0,19,181.0,Top
hbTGWNYIxrM,Facts Roast Sejal exx,2025-03-04,33.0,0:00:16,76.59,51.08,0.0,0.0,3090,14.2364,3,1024,4.1,Mid,0.0,1.0,21,480.0,Low
D0t2n32m_50,Gobar Ki Roti Kha Li 🤣,2025-11-14,30.0,0:00:27,76.47,90.37,0.0,0.0,198418,839.7762,1632,13614,9.13,Top,0.0,4.0,22,225.0,Top
ymlbjzJAMDw,Time to Make TikTok Videos 🤑,2025-08-28,38.0,0:00:28,76.47,75.97,0.0,0.0,24,0.1056,0,43,13.95,Low,0.0,3.0,28,303.0,Low
MpqSIiBZ57Y,Cringe Kajal Pandey Roast,2025-03-25,38.0,0:00:21,76.39,57.41,0.0,0.0,1180,6.6861,5,1264,5.3,Mid,0.0,1.0,25,459.0,Mid
6cyAhlPIDfQ,mental sheeer #shorts,2024-11-26,21.0,0:00:12,76.29,61.65,0.0,0.0,3553,12.7574,1,1699,1.18,Mid,0.0,1.0,21,578.0,Mid
Ur5gW1TxO6k,Best Food Lover 🤣,2026-06-03,36.0,0:00:26,76.23,73.12,0.0,0.0,362232,1549.2525,12060,4035,7.76,Top,0.0,2.0,17,24.0,Top
HbHrQo9AENQ,Biggest Chappri 🤣,2025-11-21,26.0,0:00:22,76.19,88.45,0.0,0.0,3076,10.7231,3,4632,5.48,Mid,0.0,4.0,17,218.0,Mid
982QH8yw4TI,Korean Boy Scam 🤣,2025-12-20,28.0,0:00:24,76.06,88.91,0.0,0.0,29654,119.0778,36,4263,4.46,Top,0.0,5.0,17,189.0,Top
Tw04ZbnTZTI,Girls In Holi 🤣,2026-03-07,31.0,0:00:23,76.0,75.53,0.0,0.0,64795,257.1214,3437,8661,3.98,Top,0.0,5.0,15,112.0,Top
uXRF15-rtt4,Tanya Mittal Roast Pawan Singh 😡,2025-09-26,41.0,0:00:29,75.93,71.94,0.0,0.0,16045,75.0913,11,6590,3.32,Mid,0.0,4.0,32,274.0,Mid
6vqw87ckxJs,kajal sejal dark-6 #shorts,2024-12-03,25.0,0:00:16,75.87,66.89,0.0,0.0,443,1.9401,1,1096,10.95,Low,0.0,1.0,26,571.0,Low
EbIxTsYauFU,Worst Makeup Transition 🤣,2025-10-13,35.0,0:00:23,75.76,66.66,0.0,0.0,23299,93.4424,22,7547,3.76,Top,0.0,0.0,25,257.0,Top
Ufve2taP5lI,Kajal Pandey Be Like 🤣,2025-10-15,33.0,0:00:27,75.64,82.22,0.0,0.0,32352,138.3542,39,11729,3.72,Top,0.0,2.0,22,255.0,Top
REgEyz0tV3s,Power Of Dance 🤣,2026-03-05,31.0,0:00:21,75.57,70.13,0.0,0.0,23092,90.7373,368,7753,3.12,Top,0.0,3.0,16,114.0,Mid
xxyc_6hhJRw,kajal sejal dark comedy-2 #shorts,2025-01-14,29.0,0:00:18,75.56,62.98,0.0,0.0,273,1.0802,1,1810,5.3,Low,0.0,1.0,33,529.0,Low
njTwHJhhZ20,Best School Technologia 🤣,2025-11-11,27.0,0:00:24,75.55,90.65,0.0,0.0,29377,120.4373,77,4857,2.49,Top,0.0,1.0,25,228.0,Top
